Date; Amount ;Category;Subcategory;Description
20.05.2014;-295,00р. ;Еда;Обед;
20.05.2014;-30,00р. ;Еда;Перекус;
20.05.2014;-345,00р. ;Еда;Магазин;
20.05.2014;-300,00р. ;Сотовый;Мой;
21.05.2014;-283,00р. ;Еда;Обед;
21.05.2014;-217,00р. ;Еда;Магазин;
21.05.2014;-1 000,00р. ;Авто;Бензин;
21.05.2014;-380,00р. ;Еда;Магазин;
22.05.2014;-320,00р. ;Еда;Обед;
22.05.2014;-152,00р. ;Еда;Перекус;
22.05.2014;-360,00р. ;Еда;Магазин;
22.05.2014;-331,00р. ;Лекарства;Аптека;
22.05.2014;-600,00р. ;Прочее;Прочее;салон красоты
23.05.2014;-290,00р. ;Еда;Обед;
23.05.2014; -489.5 ;Вещи;Техника;али дисплеи
23.05.2014;-428,00р. ;Еда;Магазин;
23.05.2014;-2 920,00р. ;Вещи;Одежда;коврик йога
23.05.2014;-300,00р. ;Сотовый;Другой;
23.05.2014;-2 228,00р. ;Вещи;Одежда;
23.05.2014;-2 500,00р. ;Ребёнок;Вещи;
24.05.2014;-3 950,00р. ;Ребёнок;Вещи;
24.05.2014;-10 980,00р. ;Посиделки;Кафе;
25.05.2014;-4 540,00р. ;Вещи;Одежда;
25.05.2014;-50,00р. ;Еда;Магазин;
25.05.2014;-291,00р. ;Еда;Магазин;
25.05.2014;-267,00р. ;Еда;Магазин;
25.05.2014; -116.5 ;Еда;Магазин;
25.05.2014;-170,00р. ;Еда;Магазин;
25.05.2014;-444,00р. ;Еда;Магазин;
26.05.2014;-1 000,00р. ;Авто;Бензин;
26.05.2014;-264,00р. ;Еда;Обед;
26.05.2014;-200,00р. ;Еда;Магазин;
27.05.2014;-80,00р. ;Проезд;Городской;
27.05.2014;-341,00р. ;Еда;Перекус;
27.05.2014; 30 000,00р. ;Income;Премия;
27.05.2014;-1 600,00р. ;Прочее;Прочее;салон красоты
27.05.2014;-434,00р. ;Еда;Магазин;
28.05.2014;-268,00р. ;Еда;Обед;
28.05.2014;-331,00р. ;Еда;Магазин;
29.05.2014;-268,00р. ;Еда;Обед;
29.05.2014;-26 700,00р. ;Авто;Запчасти;
29.05.2014;-1 000,00р. ;Авто;Бензин;
29.05.2014;-568,00р. ;Еда;Магазин;
29.05.2014;-860,00р. ;Прочее;Прочее;цветы
30.05.2014;-30,00р. ;Еда;Перекус;
30.05.2014;-335,00р. ;Еда;Обед;
30.05.2014; -1196.00 ;Еда;Магазин;
31.05.2014;-350,00р. ;Авто;Ремонт;
31.05.2014;-221,00р. ;Еда;Магазин;
31.05.2014;-160,00р. ;Еда;Магазин;
